timestamp_iso,ts_epoch,dt_s,mpu_num,ok,ax,ay,az,ax_g,ay_g,az_g,gx,gy,gz,gx_dps,gy_dps,gz_dps,kalX_deg,kalY_deg
2025-08-25T14:40:47.121809+03:00,1756122047.121792,0.070549,2,True,7474,-1326,-17852,0.4561767578125,-0.0809326171875,-1.089599609375,-112,-265,65,-6.829268292682928,-16.158536585365855,3.963414634146342,-214.3540593778673,-22.742099488073592
2025-08-25T14:40:47.192498+03:00,1756122047.192482,0.070690,1,True,8040,-1682,-16048,0.49072265625,-0.1026611328125,-0.9794921875,-31,-237,47,-1.8902439024390245,-14.451219512195124,2.8658536585365857,-210.1588731540342,-27.093897381976326
2025-08-25T14:40:47.192498+03:00,1756122047.192482,0.070690,2,True,7278,-1314,-18092,0.4442138671875,-0.0802001953125,-1.104248046875,-123,-238,66,-7.500000000000001,-14.51219512195122,4.024390243902439,-212.8999401506495,-21.6628214846187
2025-08-25T14:40:47.263053+03:00,1756122047.263036,0.070554,1,True,7734,-1488,-16134,0.4720458984375,-0.0908203125,-0.9847412109375,-40,-224,64,-2.439024390243903,-13.658536585365855,3.9024390243902443,-208.94452179795422,-25.877875887441927
2025-08-25T14:40:47.263053+03:00,1756122047.263036,0.070554,2,True,7282,-1374,-18072,0.4444580078125,-0.0838623046875,-1.10302734375,-118,-245,82,-7.195121951219513,-14.939024390243905,5.0,-211.35612575427268,-20.737714798939663
2025-08-25T14:40:47.333585+03:00,1756122047.333568,0.070532,1,True,7524,-1716,-16160,0.459228515625,-0.104736328125,-0.986328125,-49,-238,25,-2.987804878048781,-14.51219512195122,1.524390243902439,-207.6204238787022,-24.774639016811893
2025-08-25T14:40:47.333585+03:00,1756122047.333568,0.070532,2,True,6886,-1394,-18020,0.4202880859375,-0.0850830078125,-1.099853515625,-126,-223,20,-7.682926829268293,-13.597560975609758,1.2195121951219514,-209.808026273586,-19.723217200065843
2025-08-25T14:40:47.404281+03:00,1756122047.404265,0.070697,1,True,7502,-1720,-16276,0.4578857421875,-0.10498046875,-0.993408203125,-21,-218,-10,-1.2804878048780488,-13.29268292682927,-0.6097560975609757,-206.15816030387728,-23.692437821092614
2025-08-25T14:40:47.404281+03:00,1756122047.404265,0.070697,2,True,6672,-1460,-18310,0.4072265625,-0.089111328125,-1.1175537109375,-106,-239,-9,-6.463414634146342,-14.573170731707318,-0.5487804878048781,-208.15565692963372,-18.78750388311787
2025-08-25T14:40:47.474877+03:00,1756122047.474861,0.070596,1,True,6934,-1548,-16334,0.4232177734375,-0.094482421875,-0.9969482421875,-15,-194,-43,-0.9146341463414634,-11.829268292682928,-2.6219512195121952,-204.72367324829003,-22.45407259114181
2025-08-25T14:40:47.474877+03:00,1756122047.474861,0.070596,2,True,6316,-1214,-18150,0.385498046875,-0.0740966796875,-1.1077880859375,-105,-206,-9,-6.402439024390245,-12.560975609756099,-0.5487804878048781,-206.581551135728,-17.747181966103224
2025-08-25T14:40:47.545481+03:00,1756122047.545463,0.070602,1,True,6840,-1530,-16598,0.41748046875,-0.0933837890625,-1.0130615234375,-28,-256,-8,-1.707317073170732,-15.609756097560977,-0.48780487804878053,-203.34835594365725,-21.526975312087757
2025-08-25T14:40:47.545481+03:00,1756122047.545463,0.070602,2,True,5876,-1278,-18516,0.358642578125,-0.0780029296875,-1.130126953125,-108,-259,7,-6.585365853658537,-15.79268292682927,0.426829268292683,-205.01234514954686,-16.856422776669174
2025-08-25T14:40:47.616089+03:00,1756122047.616072,0.070609,1,True,6360,-1512,-16774,0.38818359375,-0.09228515625,-1.0238037109375,-21,-205,-16,-1.2804878048780488,-12.500000000000002,-0.9756097560975611,-201.95410491009073,-20.33101629974093
2025-08-25T14:40:47.616089+03:00,1756122047.616072,0.070609,2,True,5470,-1116,-18626,0.3338623046875,-0.068115234375,-1.1368408203125,-105,-215,22,-6.402439024390245,-13.109756097560977,1.3414634146341464,-203.50471249918806,-15.763389353522424
2025-08-25T14:40:47.686667+03:00,1756122047.686651,0.070578,1,True,5926,-1302,-16944,0.3616943359375,-0.0794677734375,-1.0341796875,-27,-233,56,-1.6463414634146343,-14.207317073170733,3.414634146341464,-200.67243201621017,-19.214395499013627
2025-08-25T14:40:47.686667+03:00,1756122047.686651,0.070578,2,True,5198,-972,-18812,0.3172607421875,-0.059326171875,-1.148193359375,-118,-243,92,-7.195121951219513,-14.817073170731708,5.609756097560976,-202.11804602955948,-14.801331871764862
